track_number,mp3_name,title,artists,cue_name,cue_role,cue_index,start_seconds,end_seconds,source,rekordbox_type,rekordbox_num,rekordbox_location
14,powerdrive.mp3,Power Drive,Pryda,START,start,,0.111,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
14,powerdrive.mp3,Power Drive,Pryda,IN 2,in,2,61.064,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
14,powerdrive.mp3,Power Drive,Pryda,IN 3,in,3,91.54,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
14,powerdrive.mp3,Power Drive,Pryda,DROP 1,drop,1,122.016,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
14,powerdrive.mp3,Power Drive,Pryda,CHORUS 1,chorus,1,243.922,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
14,powerdrive.mp3,Power Drive,Pryda,DROP 2,drop,2,282.017,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
14,powerdrive.mp3,Power Drive,Pryda,OUT 1,out,1,464.875,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/powerdrive.mp3
15,water.mp3,Water,"Bicep, Clara La San",START,start,,0.433,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",START,start,,0.433,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",IN 2,in,2,29.972,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",IN 1,in,1,59.51,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",BREAK 1,break,1,103.817,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",CHORUS 1,chorus,1,133.356,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",DROP 1,drop,1,192.432,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",OUT 1,out,1,221.971,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
15,water.mp3,Water,"Bicep, Clara La San",OUT 2,out,2,236.74,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/water.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,START,start,,0.023,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,START,start,,0.023,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,IN 1,in,1,61.463,,rekordbox,0,1,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,IN 2,in,2,92.183,,rekordbox,0,2,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,BREAK 1,break,1,138.263,,rekordbox,0,4,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,DROP 1,drop,1,184.343,,rekordbox,0,3,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,DROP 2,drop,2,245.783,,rekordbox,0,5,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,OUT 1,out,1,276.503,,rekordbox,0,6,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
16,holdthatsuckerdown.mp3,Hold That Sucker Down (HEL:SLOWED Remix),Jerome Isma-Ae,OUT 2,out,2,291.863,,rekordbox,0,7,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/holdthatsuckerdown.mp3
17,flame.mp3,Flame,ARTBAT,START,start,,0.024,,rekordbox,beatgrid,,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
17,flame.mp3,Flame,ARTBAT,START,start,,0.024,,rekordbox,0,0,file://localhost/Users/josephdaher/Git%20Repositories/djprojectexploration/music/aries-mix/flame.mp3
